"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 06- 24","17,496.82","17,640.26","17,730.12","17,494.02","1.14B","-1.09%"
"2024- 06- 21","17,689.36","17,681.01","17,787.34","17,620.57","3.54B","-0.18%"
"2024- 06- 20","17,721.59","17,913.94","17,936.79","17,650.70","1.26B","-0.79%"
"2024- 06- 18","17,862.23","17,856.76","17,890.52","17,796.88","1.11B","0.03%"
"2024- 06- 17","17,857.02","17,697.30","17,935.98","17,636.36","1.04B","0.95%"
"2024- 06- 14","17,688.88","17,621.18","17,693.43","17,590.80","965.43M","0.12%"
"2024- 06- 13","17,667.56","17,715.27","17,741.80","17,566.32","981.98M","0.34%"
"2024- 06- 12","17,608.44","17,502.15","17,725.39","17,490.64","1.13B","1.53%"
"2024- 06- 11","17,343.55","17,160.42","17,345.05","17,107.99","941.87M","0.88%"
"2024- 06- 10","17,192.53","17,083.45","17,213.45","17,057.34","1.01B","0.35%"
"2024- 06- 07","17,133.13","17,124.13","17,229.31","17,090.04","897.39M","-0.23%"
"2024- 06- 06","17,173.12","17,204.87","17,235.73","17,123.59","940.92M","-0.09%"
"2024- 06- 05","17,187.90","16,974.48","17,187.92","16,955.56","1.01B","1.96%"
"2024- 06- 04","16,857.05","16,823.88","16,891.87","16,750.39","975.74M","0.17%"
"2024- 06- 03","16,828.67","16,865.70","16,909.89","16,646.43","1.06B","0.56%"
"2024- 05- 31","16,735.02","16,771.90","16,789.27","16,445.54","1.81B","-0.01%"
"2024- 05- 30","16,737.08","16,878.63","16,900.46","16,690.36","1.11B","-1.08%"
"2024- 05- 29","16,920.58","16,879.35","16,989.60","16,873.97","1.15B","-0.58%"
"2024- 05- 28","17,019.88","16,988.31","17,032.65","16,917.51","1.10B","0.59%"
"2024- 05- 24","16,920.79","16,786.79","16,947.79","16,771.58","953.61M","1.10%"
"2024- 05- 23","16,736.03","16,996.38","16,996.38","16,678.37","1.21B","-0.39%"
"2024- 05- 22","16,801.54","16,839.02","16,855.27","16,712.09","1.15B","-0.18%"
"2024- 05- 21","16,832.62","16,736.10","16,839.02","16,719.97","1.02B","0.22%"
"2024- 05- 20","16,794.87","16,702.02","16,823.83","16,695.69","1.12B","0.65%"
"2024- 05- 17","16,685.97","16,708.49","16,726.41","16,613.84","1.43B","-0.07%"
"2024- 05- 16","16,698.32","16,738.11","16,797.83","16,693.45","1.47B","-0.26%"
"2024- 05- 15","16,742.39","16,601.14","16,749.74","16,544.09","1.32B","1.40%"
"2024- 05- 14","16,511.18","16,391.16","16,526.27","16,386.44","1.24B","0.75%"
"2024- 05- 13","16,388.24","16,400.31","16,407.05","16,334.86","953.22M","0.29%"
"2024- 05- 10","16,340.87","16,389.02","16,437.39","16,293.52","940.76M","-0.03%"
"2024- 05- 09","16,346.26","16,323.74","16,362.79","16,241.98","945.46M","0.27%"
"2024- 05- 08","16,302.76","16,226.07","16,341.65","16,226.07","976.92M","-0.18%"
"2024- 05- 07","16,332.55","16,358.34","16,397.39","16,303.84","1.02B","-0.10%"
"2024- 05- 06","16,349.25","16,208.54","16,350.08","16,197.86","919.31M","1.19%"
"2024- 05- 03","16,156.33","16,147.48","16,204.71","16,068.34","1.03B","1.99%"
"2024- 05- 02","15,840.96","15,758.11","15,862.79","15,604.73","1.05B","1.51%"
"2024- 05- 01","15,605.48","15,646.09","15,926.22","15,557.64","1.12B","-0.33%"
"2024- 04- 30","15,657.82","15,920.89","15,979.36","15,655.67","1.15B","-2.04%"
"2024- 04- 29","15,983.08","16,007.00","16,021.50","15,885.89","953.16M","0.35%"
"2024- 04- 26","15,927.90","15,821.33","15,981.00","15,770.72","939.96M","2.03%"
"2024- 04- 25","15,611.76","15,375.26","15,644.51","15,343.91","990.23M","-0.64%"
"2024- 04- 24","15,712.75","15,805.60","15,839.00","15,634.44","955.27M","0.10%"
"2024- 04- 23","15,696.64","15,525.55","15,730.35","15,510.58","981.75M","1.59%"
"2024- 04- 22","15,451.30","15,396.13","15,539.00","15,265.66","930.20M","1.11%"
"2024- 04- 19","15,282.01","15,547.10","15,576.70","15,222.78","1.11B","-2.05%"
"2024- 04- 18","15,601.50","15,705.70","15,786.12","15,587.50","936.42M","-0.52%"
"2024- 04- 17","15,683.37","15,942.29","15,957.03","15,654.51","896.71M","-1.15%"
"2024- 04- 16","15,865.25","15,856.38","15,965.79","15,822.02","912.04M","-0.12%"
"2024- 04- 15","15,885.02","16,276.47","16,295.27","15,863.88","980.76M","-1.79%"
"2024- 04- 12","16,175.09","16,293.03","16,341.46","16,125.33","906.05M","-1.62%"
"2024- 04- 11","16,442.20","16,236.20","16,464.60","16,154.65","888.86M","1.68%"
"2024- 04- 10","16,170.36","16,104.01","16,200.10","16,092.02","992.41M","-0.84%"
"2024- 04- 09","16,306.64","16,328.76","16,348.18","16,141.15","888.26M","0.32%"
"2024- 04- 08","16,253.96","16,285.18","16,323.60","16,220.72","852.61M","0.03%"
"2024- 04- 05","16,248.52","16,095.40","16,326.50","16,080.49","903.32M","1.24%"
"2024- 04- 04","16,049.08","16,418.57","16,468.04","16,046.56","1.07B","-1.40%"
"2024- 04- 03","16,277.46","16,178.79","16,340.74","16,169.31","1.01B","0.23%"
"2024- 04- 02","16,240.45","16,199.24","16,251.41","16,137.24","1.03B","-0.95%"
"2024- 04- 01","16,396.83","16,397.05","16,490.65","16,327.89","930.02M","0.11%"
"2024- 03- 28","16,379.46","16,377.23","16,420.92","16,347.38","1.22B","-0.12%"
"2024- 03- 27","16,399.52","16,424.76","16,431.82","16,279.17","986.80M","0.51%"
"2024- 03- 26","16,315.70","16,446.85","16,476.38","16,312.95","1.00B","-0.42%"
"2024- 03- 25","16,384.47","16,335.30","16,441.17","16,315.72","896.53M","-0.27%"
"2024- 03- 22","16,428.82","16,387.83","16,467.62","16,361.00","880.01M","0.16%"
"2024- 03- 21","16,401.84","16,517.24","16,538.86","16,393.90","1.06B","0.20%"
"2024- 03- 20","16,369.41","16,185.76","16,377.44","16,127.48","1.03B","1.25%"
"2024- 03- 19","16,166.79","16,031.93","16,175.59","15,951.86","1.04B","0.39%"
"2024- 03- 18","16,103.45","16,154.92","16,247.59","16,094.17","1.04B","0.82%"
"2024- 03- 15","15,973.17","16,043.58","16,055.33","15,925.91","3.07B","-0.96%"
