market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-BTC,2024-07-01 00:00:00+00:00,2024-07-01 09:00:00,87920000.0,89644000.0,87609000.0,88253000.0,1719878399413,187910215069.42743,2120.47778236,87920000.0,333000.0,0.0037875341
KRW-BTC,2024-07-02 00:00:00+00:00,2024-07-02 09:00:00,88259000.0,88847000.0,86987000.0,87248000.0,1719964799583,133974236157.29668,1525.13237149,88253000.0,-1005000.0,-0.0113877149
KRW-BTC,2024-07-03 00:00:00+00:00,2024-07-03 09:00:00,87270000.0,87623000.0,84508000.0,85331000.0,1720051199761,241696760888.49173,2823.97617467,87248000.0,-1917000.0,-0.0219718504
KRW-BTC,2024-07-04 00:00:00+00:00,2024-07-04 09:00:00,85331000.0,85592000.0,81207000.0,81680000.0,1720137599950,508714299967.0383,6151.28764968,85331000.0,-3651000.0,-0.0427863262
KRW-BTC,2024-07-05 00:00:00+00:00,2024-07-05 09:00:00,81680000.0,82544000.0,77335000.0,81118000.0,1720223999389,771379661181.4397,9719.19667539,81680000.0,-562000.0,-0.0068805093
KRW-BTC,2024-07-06 00:00:00+00:00,2024-07-06 09:00:00,81118000.0,83202000.0,79938000.0,82826000.0,1720310399919,217020180860.6007,2664.49967064,81118000.0,1708000.0,0.021055746
KRW-BTC,2024-07-07 00:00:00+00:00,2024-07-07 09:00:00,82850000.0,82940000.0,79280000.0,79397000.0,1720396799814,205364943238.90503,2527.24731033,82826000.0,-3429000.0,-0.0414000435
KRW-BTC,2024-07-08 00:00:00+00:00,2024-07-08 09:00:00,79397000.0,82700000.0,77880000.0,80534000.0,1720483199139,407495808244.1024,5094.76571434,79397000.0,1137000.0,0.0143204403
KRW-BTC,2024-07-09 00:00:00+00:00,2024-07-09 09:00:00,80499000.0,82300000.0,80000000.0,82043000.0,1720569599074,207188813320.79987,2547.62184575,80534000.0,1509000.0,0.0187374277
KRW-BTC,2024-07-10 00:00:00+00:00,2024-07-10 09:00:00,82043000.0,83825000.0,81096000.0,81896000.0,1720655999029,241533427852.04196,2927.47972497,82043000.0,-147000.0,-0.0017917434
KRW-BTC,2024-07-11 00:00:00+00:00,2024-07-11 09:00:00,81926000.0,83795000.0,81000000.0,81070000.0,1720742399863,240656104086.51352,2930.42730849,81896000.0,-826000.0,-0.0100859627
KRW-BTC,2024-07-12 00:00:00+00:00,2024-07-12 09:00:00,81070000.0,82309000.0,80085000.0,81540000.0,1720828795637,162370294145.94073,2003.05277025,81070000.0,470000.0,0.005797459
KRW-BTC,2024-07-13 00:00:00+00:00,2024-07-13 09:00:00,81548000.0,83700000.0,81300000.0,82901000.0,1720915200004,139900580321.58945,1698.9670231,81540000.0,1361000.0,0.0166911945
KRW-BTC,2024-07-14 00:00:00+00:00,2024-07-14 09:00:00,82901000.0,86000000.0,82860000.0,85430000.0,1721001599887,267061160893.37726,3162.56205447,82901000.0,2529000.0,0.0305062665
KRW-BTC,2024-07-15 00:00:00+00:00,2024-07-15 09:00:00,85430000.0,91294000.0,85269000.0,91162000.0,1721088000042,449269971924.1909,5087.5047679,85430000.0,5732000.0,0.067095868
KRW-BTC,2024-07-16 00:00:00+00:00,2024-07-16 09:00:00,91162000.0,91544000.0,87300000.0,90807000.0,1721174399925,557878343297.2963,6229.90082082,91162000.0,-355000.0,-0.0038941664
KRW-BTC,2024-07-17 00:00:00+00:00,2024-07-17 09:00:00,90825000.0,92159000.0,89380000.0,89467000.0,1721260799748,335601755804.37213,3690.86942876,90807000.0,-1340000.0,-0.0147565716
KRW-BTC,2024-07-18 00:00:00+00:00,2024-07-18 09:00:00,89452000.0,91200000.0,89049000.0,89850000.0,1721347199593,231608554045.43936,2571.16592106,89467000.0,383000.0,0.004280908
KRW-BTC,2024-07-19 00:00:00+00:00,2024-07-19 09:00:00,89850000.0,94073000.0,88675000.0,93004000.0,1721433600006,385983610442.7926,4216.76104722,89850000.0,3154000.0,0.0351029494
KRW-BTC,2024-07-20 00:00:00+00:00,2024-07-20 09:00:00,93004000.0,94624000.0,92736000.0,94065000.0,1721519999685,184106522945.32446,1966.82922042,93004000.0,1061000.0,0.0114081115
KRW-BTC,2024-07-21 00:00:00+00:00,2024-07-21 09:00:00,94073000.0,95299000.0,92413000.0,95000000.0,1721606399704,282511677391.88605,2999.30004219,94065000.0,935000.0,0.0099399352
KRW-BTC,2024-07-22 00:00:00+00:00,2024-07-22 09:00:00,95000000.0,95353000.0,93050000.0,94357000.0,1721692799943,270086053980.06497,2864.06872329,95000000.0,-643000.0,-0.0067684211
KRW-BTC,2024-07-23 00:00:00+00:00,2024-07-23 09:00:00,94284000.0,94748000.0,92000000.0,92230000.0,1721779199439,298055492452.224,3198.17266819,94357000.0,-2127000.0,-0.0225420478
KRW-BTC,2024-07-24 00:00:00+00:00,2024-07-24 09:00:00,92196000.0,93494000.0,91051000.0,91501000.0,1721865599684,287757546664.5858,3120.28733945,92230000.0,-729000.0,-0.0079041527
